structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,Weight-,Acceleration+,Mpg+,N+
20,3,4,35,0.261238099744945,1,0.960538831308244,0.49044803840816,3,2155,16.4,30,79
17,2,3,50,0.424277410167971,4,1.00979667921061,0.636068129143488,4,2155,16.4,30,79
14,2,2,23,0.176186323013876,1,0.507846527882433,0.567768138078022,4,2115,16.55,30,114
2,5,4,39,0.342047984856307,3,1.39820367910328,0.692986842068892,2,2234,16.1,30,203
18,2,1,22,0.488054417212885,3,0.802124500547328,0.52010082258163,2,2234,16.1,30,203
12,4,3,33,0.790992938904579,2,0.661926329858365,0.640754787912606,2,2234,16.1,30,203
12,4,2,9,0.706069705713618,2,0.572521554762511,0.330872737205109,2,2234,16.1,30,203
23,3,4,34,0.766075248012991,1,0.457066065544668,0.382660302221608,3,1995,16.2,30,32
6,3,1,6,0.4429546272702,1,0.287026269573957,0.453545058253176,3,2234,16.1,30,203
31,2,2,31,0.499915277485441,4,0.926715806746203,0.557531837599518,4,2234,16.1,30,203
7,2,3,10,0.770310539333808,1,1.25748908064985,0.654901966232217,2,2234,16.1,30,203
31,2,3,14,0.597607147678238,2,1.46425189550151,0.505295418338485,4,2130,16.4,30,144
15,3,1,6,0.87144724939416,3,0.173554476125452,0.506019263651956,2,2155,16.4,30,79
25,5,1,18,0.14627389293264,3,0.571500148564565,0.64145272663202,4,2234,16.1,30,203
22,2,1,40,0.206890781195804,4,0.393210441944006,0.671700624917031,3,2234,16.1,30,203
17,4,1,15,0.895203209894937,4,0.737206788531194,0.54672362166838,2,2155,16.4,30,79
3,4,2,15,0.57886846534838,2,0.354538689433305,0.4319049517743,4,2217,16.65,30,188
3,3,2,16,0.81406305375293,3,0.638261715331906,0.465374207979465,5,2130,16.4,30,144
24,3,1,40,0.287622949407354,3,0.25023505972527,0.530413520183297,2,2234,16.1,30,203
5,3,4,19,0.46601928405123,4,0.777682677768711,0.390596244669217,4,2155,16.4,30,79
22,4,2,17,0.773490881585572,1,1.40769163078536,0.403214944384764,3,2234,16.1,30,203
11,5,4,12,0.802402502005692,4,0.583965935044301,0.519639905223735,4,2155,16.4,30,79
2,2,1,9,0.783643409392114,3,0.726433940360483,0.640499606843979,5,2234,16.1,30,203
21,2,4,16,0.207877554097951,4,1.37457186858813,0.652153899447003,4,2234,16.1,30,203
16,4,3,35,0.746088529812895,1,0.531209045210275,0.415251131380847,4,2155,16.4,30,79
6,5,3,32,0.238493217252948,3,0.249231096429744,0.592446252032119,5,2096.5,17,30,112
16,5,4,46,0.11270363558192,3,1.22798850296639,0.463467510526133,3,2265,16,30,216
9,2,3,43,0.2367409131609,3,0.21763739567416,0.300234161423089,4,2155,16.4,30,79
8,4,4,41,0.646978274658967,3,1.4208515095762,0.648965339656566,5,1987.5,15.75,30,16
1,3,4,12,0.188820159466029,4,0.718893249026376,0.583827592065794,3,2155,16.4,30,79
