structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,target,Weight-,Acceleration+,Mpg+,N+
23,3,1,34,0.8781677089641633,4,0.8420797959840977,0.4634691264442569,4,1,2155,16.4,30,79
14,2,2,48,0.7550847525829467,3,0.3955466230499355,0.4730646560160297,2,1,2234,16.1,30,203
17,5,2,32,0.3052468558221797,2,0.8381453124394381,0.36010023683771286,5,1,2155,16.4,30,79
10,5,3,12,0.8182549667976072,3,0.43422547294297464,0.47941302124466445,4,1,2220,16,30,191
17,5,4,10,0.5155823527799868,4,0.39878230999045794,0.5863915623445649,4,1,2155,16.4,30,79
16,3,2,45,0.12761726811729837,3,1.1603034740711646,0.4923756495890287,4,1,2508.5,16.2,30.0,290
14,5,3,16,0.695682081893471,4,0.22487736265820896,0.48028881052732475,4,1,2155,16.4,30,79
15,4,2,33,0.48128587772677645,2,0.4671177893556403,0.5380076268170063,4,1,2155,16.4,30,79
24,4,1,42,0.7656375053845487,4,1.2451634915285206,0.38144165779198536,5,1,2130.0,16.4,30.0,144
22,2,3,18,0.4217018610026074,1,0.4223062598047984,0.3532762121137975,4,1,2155,16.4,30,79
10,3,3,47,0.68599869919737,1,0.5257261521144205,0.6460145659562744,4,1,2265.0,16.0,30.0,216
15,2,1,20,0.8757324064268549,4,1.3455562700329977,0.37861822623056884,2,1,2155,16.4,30,79
16,5,4,8,0.7608734931781558,2,1.060806016966766,0.4320493977757318,2,1,2234,16.1,30,203
18,2,2,34,0.35623781708799407,4,1.2960588816575462,0.39770193655643205,3,1,2155,16.4,30,79
30,5,1,26,0.7869435136663706,1,0.9611062557594628,0.5328013925281085,3,1,2234,16.1,30,203
10,2,4,24,0.8232148105592982,3,0.8512851374305068,0.5273891037309268,3,1,2234,16.1,30,203
12,4,3,37,0.4280072039309205,1,1.406375685654192,0.5800269737064772,3,1,2375,15.9,30,137
24,3,1,35,0.8526886272328488,3,1.2297311077046273,0.36551004102328843,4,1,2155,16.4,30,79
25,5,4,37,0.26797987142380364,3,1.2084409683394046,0.4627558016378881,4,1,2155,16.4,30,79
4,3,2,32,0.2973325951280561,1,0.6786078246741976,0.4637754513674186,5,1,2155,16.4,30,79
29,2,4,25,0.13567117765863712,2,0.34650897967593264,0.5691143879604874,4,1,2234,16.1,30,203
21,3,1,20,0.7404611627340777,3,0.8972308144624991,0.6527350304262993,4,1,2234,16.1,30,203
