structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,Weight-,Acceleration+,Mpg+,N+
4,5,4,17,0.828983120480137,3,1.39913221042532,0.396095035358593,3,2234,16.1,30,203
29,2,1,10,0.493219033757208,4,1.20353268866982,0.469017844031841,5,2051,17,30,99
21,2,3,44,0.155373140618667,4,0.239930065847608,0.603820216838147,2,2234,16.1,30,203
23,4,3,14,0.490551939898053,3,1.20179076422806,0.479881724990555,2,2234,16.1,30,203
10,3,3,24,0.131061768147383,1,0.440038527128573,0.310812996939049,3,2234,16.1,30,203
16,3,1,18,0.805676227499347,4,0.62186766495676,0.356796693198043,5,2155,16.4,30,79
29,3,2,35,0.53027426999696,2,0.338914998041309,0.455626442058558,5,2155,16.4,30,79
31,4,2,25,0.473774936185378,3,0.459290488687877,0.357689481715001,4,2155,16.4,30,79
27,3,2,41,0.103378426103261,3,1.22233927228462,0.54782488963099,2,2234,16.1,30,203
18,4,3,28,0.448585411171784,4,0.795145371515764,0.320981071210008,2,2234,16.1,30,203
18,2,1,11,0.461381798856723,2,1.38679950403893,0.686416061702305,5,2234,16.1,30,203
28,4,3,42,0.70155444965214,2,1.06647912481127,0.423538941813172,3,2155,16.4,30,79
10,2,2,11,0.807459841048631,2,0.94855256512524,0.543413378240382,5,2219,15.7,30,101
18,3,3,40,0.687519303788113,1,1.00238566442795,0.678213264135327,2,2234,16.1,30,203
7,3,2,10,0.84365076966849,1,1.33099458783454,0.362003312804014,3,2250,15.75,30,116
23,4,3,21,0.731185486746543,4,0.530872959782494,0.371774556014698,2,2265,16,30,216
21,3,2,13,0.730756513114574,4,0.830955699321104,0.462061410758095,5,1990,15.5,30,17
25,2,1,23,0.278407077010362,1,1.37380525442875,0.390049347216266,2,2234,16.1,30,203
6,3,4,9,0.328877300504121,2,0.530901741818289,0.658346035316012,3,2265,16,30,216
25,3,3,31,0.26769984824094,3,1.24848647865143,0.572783764547452,5,2155,16.4,30,79
9,3,3,29,0.767764248370464,4,0.178095478901221,0.456292090682292,4,2080,16.45,30,114
3,5,2,12,0.258352020727257,2,1.14901440438113,0.683576805011034,3,2234,16.1,30,203
3,2,1,36,0.523496912426059,3,0.423402546582918,0.601157655338894,4,2234,16.1,30,203
11,4,3,35,0.378151046289066,3,0.734259904936551,0.670618572726946,5,2234,16.1,30,203
31,3,3,8,0.760131277474156,2,0.137971950264949,0.515259453966295,2,2234,16.1,30,203
7,4,2,11,0.516062335940068,2,0.42214714897812,0.361009196567184,4,2155,16.4,30,79
25,3,2,44,0.763312945536101,3,1.4995229762795,0.440373302141467,3,2124,16.4,30,129
7,2,4,11,0.603483654448706,2,1.25609008899369,0.438728489070573,2,2234,16.1,30,203
13,2,3,41,0.563197778961803,1,0.915130273220985,0.491321397309925,5,2223,15.7,30,103
29,5,1,38,0.225556107825025,3,0.494662440282303,0.320292951561785,3,2234,16.1,30,203
29,5,4,24,0.821982865946324,3,1.11853956341734,0.319198125367342,2,2234,16.1,30,203
14,3,2,33,0.762196497701489,2,0.889367974688843,0.683511129153903,4,2234,16.1,30,203
17,2,3,44,0.107033608361955,4,0.443141444894517,0.469935926016592,2,2234,16.1,30,203
24,2,3,25,0.295666458069365,2,0.499086620179416,0.346873121644412,5,2155,16.4,30,79
23,2,2,22,0.862978938130248,2,0.996996594224792,0.600312262005375,2,2255,16,30,211
18,3,4,40,0.175152651348898,1,0.306368245348953,0.694913145127423,3,2234,16.1,30,203
13,5,3,12,0.225692781874169,2,1.22468356732687,0.57650888102156,5,2245.5,16.15,30,206
22,4,1,10,0.757331638854077,2,0.286758499268064,0.651534149452548,3,2234,16.1,30,203
3,3,4,18,0.589003893542637,4,0.85101302177163,0.530674703669088,4,2155,16.4,30,79
10,4,1,21,0.444892154496084,3,1.30017272976494,0.411814998767644,5,1985,19,30,37
10,2,1,37,0.710918519950178,3,0.605607831840343,0.593430083928841,3,2234,16.1,30,203
17,3,3,8,0.524940090571329,1,0.534964891608042,0.613198361271046,5,1975,17.15,30,34
24,4,1,36,0.308190620531198,4,0.183976351530427,0.377169128283967,3,2264.5,16,30,188
2,5,2,43,0.820626588861416,1,0.29922736027183,0.680148250201,4,2234,16.1,30,203
19,4,4,26,0.350314618117374,2,0.344848178368195,0.484228451529647,2,2234,16.1,30,203
29,2,1,42,0.820129471435133,4,1.46087923598395,0.449976644472634,4,2130,16.4,30,144
9,4,3,10,0.180681444172424,4,1.31142383707046,0.639774771228499,5,2234,16.1,30,203
24,2,2,22,0.505708768234826,4,1.09802200219112,0.619821040878886,4,2648,16.4,30,201
27,2,3,41,0.740713642297531,2,1.0531520342043,0.692430522677885,2,2234,16.1,30,203
18,5,3,14,0.617497341338434,2,0.845814036194012,0.447576534270384,3,2155,16.4,30,79
11,3,4,12,0.401682767794971,4,0.718076610198531,0.538414802006043,3,2234,16.1,30,203
5,4,4,10,0.192213979863937,4,0.217485617532116,0.468798079276256,4,1995,15.9,30,28
18,3,3,19,0.433375499669423,2,1.11852473142572,0.414833245304981,4,2360,16.4,30,242
16,2,2,45,0.276213519480024,3,0.839091250337837,0.453058377837219,3,2155,16.4,30,79
28,3,2,17,0.415418536430658,2,1.27000684685896,0.479691342773566,4,2188,16.7,30,167
16,5,1,18,0.475530539600689,2,0.624066127021796,0.669631321259564,5,2234,16.1,30,203
17,2,4,12,0.434501135307514,2,0.428223120807365,0.354330412667427,4,2155,16.4,30,79
9,3,3,7,0.539543210965563,1,1.18419476128117,0.31435884955063,2,2234,16.1,30,203
11,3,1,27,0.428979826830116,3,0.178808922983697,0.587414214474712,3,2234,16.1,30,203
25,4,3,43,0.191899770671636,2,0.236248341895218,0.517493585701609,2,2234,16.1,30,203
3,3,2,27,0.27944721961404,1,0.40073794899344,0.672926538015415,3,2234,16.1,30,203
28,5,3,42,0.134933896066041,3,1.39847874429761,0.350585938314165,2,2265,16,30,216
18,3,1,26,0.872276981762592,2,0.112555312788108,0.389492398911675,3,2155,16.4,30,79
29,5,2,49,0.388406670138162,2,0.233533155308847,0.54465800408154,4,2234,16.1,30,203
5,5,4,41,0.602604658081311,2,1.04218736471407,0.503309712892732,2,2234,16.1,30,203
25,2,2,38,0.480886279318858,1,0.270302281154034,0.67795835213919,3,2234,16.1,30,203
1,5,4,36,0.696223596778809,3,1.01866573345942,0.457227544960423,2,2234,16.1,30,203
24,4,1,28,0.467751052634766,4,0.848762398923766,0.623483273990675,4,2234,16.1,30,203
17,5,2,35,0.848561625292495,2,0.909092182274295,0.593046682450999,4,2265,16,30,216
24,2,2,13,0.840506919158099,4,0.221260061725166,0.494827534410645,3,2155,16.4,30,79
1,3,2,13,0.463127213457809,2,1.12654452799868,0.416541256283124,3,2155,16.4,30,79
14,2,1,19,0.388829200784558,2,1.23046646056564,0.627678486620015,3,2234,16.1,30,203
1,4,1,8,0.25528260467261,2,0.203968656540508,0.334882542618899,4,1867,18,30,9
25,5,2,17,0.197001173295611,1,0.782735577116086,0.33923595586347,4,2155,16.4,30,79
5,4,3,32,0.79783089967899,1,0.469930796240309,0.402511612362635,4,2051,17,30,99
5,4,1,23,0.572806300640548,2,0.281383716474242,0.358467396139643,2,2234,16.1,30,203
6,5,3,29,0.349700186133794,3,0.265313592095846,0.440259572329441,4,2155,16.4,30,45
2,5,4,24,0.762879681565759,3,1.22941657133779,0.392042849986619,2,2234,16.1,30,203
29,4,1,39,0.685814626787613,3,1.17706653844825,0.483848210238472,5,2130,16.4,30,144
25,3,3,36,0.165665548957122,2,0.795741412725032,0.330178037722128,2,2234,16.1,30,203
6,5,1,42,0.873013851174459,3,1.40329656564419,0.59313990927649,3,2155,16.4,30,79
29,3,4,10,0.251835885530333,3,1.36508299115681,0.446014085483816,3,2648,16.4,30,201
4,4,4,30,0.756077580688982,2,0.709625708724154,0.502887679838783,2,2234,16.1,30,203
19,4,4,34,0.4133663680179,1,1.3894398672068,0.606948096497908,5,2128,16.85,30,132
19,5,1,44,0.414137562818805,1,0.172632746180418,0.491378716909115,4,2072.5,16.4,30,88
13,3,1,9,0.898388802378851,4,0.303284668310187,0.483168712148017,3,2155,16.4,30,79
3,2,4,40,0.318939338512913,2,0.498887681815647,0.418191391105072,4,2070,16.4,30,109
15,4,2,25,0.370956375472992,1,0.490669400739169,0.349992991656932,5,2155,16.4,30,79
17,5,3,16,0.576784000365876,3,0.684436118176572,0.689167818473959,4,2234,16.1,30,203
18,3,2,36,0.503377693175945,3,0.559911447175835,0.413070135979388,3,2155,16.4,30,79
7,2,3,7,0.453477457275265,2,0.360068566504698,0.452789316005932,3,2155,16.4,30,79
18,3,3,46,0.701374940855252,3,0.618675046179943,0.471822425807261,3,2234,16.1,30,203
19,4,2,36,0.827287489367691,1,0.133782124655685,0.398596212251471,2,2234,16.1,30,203
23,2,4,22,0.550110995266763,2,1.03471527671872,0.51642486584912,2,2234,16.1,30,203
21,5,3,49,0.891488290771563,2,1.03493590458935,0.607430406823403,3,2155,16.4,30,79
20,5,4,19,0.302552624445481,2,0.634018141597227,0.647725075503906,4,2155,16.4,30,79
7,3,3,36,0.193231301040346,1,0.566231556337228,0.412169821345581,4,2130,16.4,30,144
29,2,4,35,0.711561081535694,2,0.752523767516158,0.394395271925948,3,2234,16.1,30,203
31,5,1,10,0.227726268338272,3,0.209328080817681,0.3630947112552,4,2022,16.4,30,52
25,5,4,22,0.332392856582463,3,1.05715833631095,0.490132730735273,5,2155,16.4,30,79
10,2,4,46,0.715963323971459,4,0.305851222320098,0.363910929843527,5,2228,15.8,30,121
8,2,1,41,0.500499299170946,3,1.43087191408461,0.509630386949371,2,2234,16.1,30,203
25,2,2,11,0.209245550788899,3,1.3386509294451,0.584980727248907,5,2605,16.4,30,183
11,3,1,13,0.458132087435265,2,1.37264004148564,0.341603600449559,5,2245.5,16.15,30,206
18,5,4,25,0.379474887258643,2,0.210864321060476,0.390169436514572,2,2234,16.1,30,203
12,3,3,22,0.211375079699169,4,0.45951346681174,0.42038843694085,3,2533.5,16,30,168
29,3,4,44,0.686691250049223,3,0.194944159349601,0.499004438812021,2,2234,16.1,30,203
1,3,1,16,0.32285526976899,3,1.07440984507262,0.308354953197966,2,2234,16.1,30,203
9,3,3,27,0.443536005225203,2,1.00713701669992,0.598438682543691,5,2155,16.4,30,79
26,4,1,34,0.372326098315536,4,1.3631519784856,0.516301469667398,3,2234,16.1,30,203
2,2,1,21,0.390261652038143,2,1.27824065768617,0.444598076966342,5,2234,16.1,30,203
13,2,3,20,0.249072510437582,1,1.06711255290243,0.627953797763089,5,2217,16,30,188
4,3,2,42,0.896945480398691,4,0.509073593950138,0.655679785474186,2,2155,16.4,30,79
2,4,2,43,0.85846377310199,4,0.582028021339657,0.686816987280924,3,2234,16.1,30,203
7,3,1,46,0.720414303811808,2,0.107510897373298,0.635194607052564,5,2234,16.1,30,203
31,4,1,36,0.572597023933303,4,0.123212820085824,0.41478379331447,2,2234,16.1,30,203
11,4,3,7,0.178851025527881,4,0.886973051983587,0.369229022157426,4,2155,16.4,30,79
23,5,1,45,0.657011522718732,3,0.828774805047573,0.396515767500261,4,2019,17.4,30,85
18,4,1,28,0.207112766326026,1,0.690334771897319,0.409837914179025,4,2130,16.4,30,144
29,5,4,9,0.30148732966867,1,0.599757393305886,0.331497984158362,2,2234,16.1,30,203
24,5,3,50,0.738339214555296,2,0.277273102327895,0.460914411812072,5,2104,16.45,30,80
13,2,4,14,0.882019027158102,3,1.36674533246178,0.598146864567749,5,2155,16.4,30,79
17,4,3,48,0.210655698140814,3,0.29764486142656,0.489813465079058,5,1995,17.5,30,71
