structure,Max_depth,Score_support,Min_samples_split,Min_bin_exp,D,Cohen,Random_proj_exp,Random_proj_depth,Weight-,Acceleration+,Mpg+,N+
27,2,4,29,0.455804161262553,1,1.21364386125446,0.386646516403317,3,2648,16.4,30,201
25,3,1,28,0.394806679991082,4,0.38049035790418,0.434834302676169,5,1995,16.8,30,77
2,4,4,22,0.26008565123073,1,0.879224852527741,0.473240263643085,4,2155,16.4,30,79
21,3,4,9,0.139854581970965,4,0.906892819754009,0.316087932412047,4,2155,16.4,30,79
25,2,4,28,0.686746883993227,3,1.36624967446403,0.570106483976206,3,2250,15.75,30,116
29,2,4,38,0.248141168257258,1,0.810219811223203,0.346148281849701,5,2155,16.4,30,79
28,2,4,19,0.127898243420477,3,0.131104844862182,0.679788009266087,2,2234,16.1,30,203
24,3,2,25,0.760157316687734,4,0.562312598173029,0.671708567815804,3,2234,16.1,30,203
14,2,4,20,0.824652010594195,3,0.799747858572775,0.431292431414718,4,2223,16,30,195
14,5,2,44,0.276515153233411,4,1.35023650816389,0.582793677853525,2,2265,16,30,216
18,4,4,12,0.557214762676131,4,0.414847725880934,0.305209657504158,4,2155,16.4,30,79
29,2,1,48,0.439759104362772,3,1.31439749743111,0.300965732172666,4,2125,16.5,30,53
20,3,1,45,0.88335174726701,1,0.815086770137673,0.689642050465294,2,2155,16.4,30,79
3,2,4,26,0.111757113671996,4,0.290009800260066,0.600717079167446,3,2155,16.4,30,79
6,4,3,45,0.897829682970574,4,1.45408703649344,0.577096291276919,3,2155,16.4,30,79
7,4,3,35,0.523836296861368,2,1.49642102289512,0.445531678958167,2,2234,16.1,30,203
9,4,4,33,0.106823958035692,3,0.742551852638401,0.470072423475286,4,1992.5,19.5,30,20
20,2,2,15,0.56063266689143,3,1.36640228868653,0.449008822865312,2,2234,16.1,30,203
15,4,3,27,0.155083314585405,4,0.823965933237286,0.580257107908148,3,2045,19.5,30,25
13,2,1,17,0.304919513128368,2,1.2203585042815,0.48097131713984,5,2070,16.4,30,109
27,2,1,15,0.745915691269137,2,0.131102743084433,0.507731267201483,5,2070,16.4,30,109
13,4,4,22,0.606998104570699,1,0.61775325554556,0.506838666813132,2,2234,16.1,30,203
21,4,4,29,0.13429111217115,1,1.40336927226659,0.684551652311686,3,2234,16.1,30,203
7,4,3,45,0.659047544293064,1,1.47107362444201,0.430784454343619,4,2130,16.4,30,144
21,3,3,14,0.377384638716169,3,0.159922826444125,0.505331353058436,4,1995,15.9,30,28
11,4,3,31,0.112247329818933,1,1.19492342294161,0.657475910911637,2,2234,16.1,30,203
18,2,2,15,0.695346158059767,4,1.2116231543733,0.333594880691304,3,2155,16.4,30,79
18,5,2,46,0.520167735593078,1,0.213936403592239,0.699006405576263,5,2234,16.1,30,203
9,4,2,41,0.327358266093014,1,1.30139256875271,0.567743016990754,2,2234,16.1,30,203
5,2,2,15,0.772631397758362,3,0.114788202171091,0.350255975167376,3,2155,16.4,30,79
